artist,songs,Clusters
Lil Baby,Chastised,0
Cordae,RNP (feat. Anderson .Paak),2
Earl Sweatshirt,DNA (feat. Na-kel),5
Kembe X,LFTFF,6
A$AP Mob,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",3
Kodak Black,There He Go,0
Jack Harlow,SUNDOWN,7
Drake,Landed,7
SAINt JHN,Quarantine Wifey (feat. JID),7
Glass Animals,Lose Control,3
Meek Mill,Blue Notes,6
Don Toliver,What You Need,0
Snoop Dogg,Murder Was The Case (feat. Dat Nigga Daz),1
Maxo Kream,1998,5
Pooh Shiesty,Ugly (feat. Gucci Mane),7
BIGBABYGUCCI,Use Me,6
JAY-Z,No Church In The Wild,3
Jeso,Night Riding,3
Joey Bada$$,95 Till Infinity,1
22Gz,Twirlanta,7
Wiz Khalifa,420 Freestyle,3
Pop Smoke,MPR,7
Key Glock,I Can Show You,0
Smoke DZA,Santos Party House,3
Spillage Village,Yellow Snow Freestyle,5
A$AP Rocky,Angels,3
50 Cent,I'm The Man,3
Anonymuz,No Threat,0
Freddie Gibbs,Shame (feat. BJ The Chicago Kid),4
BIG30,First Day Out,3
Drake,The Motion,2
Huncho Jack,How U Feel,7
Lil Uzi Vert,No Auto (feat. Lil Durk),3
Pop Smoke,Make It Rain,2
Young Thug,Dream (feat. Yak Gotti),5
Chance the Rapper,Acid Rain,0
NAV,Repercussions (with Young Thug),3
G Herbo,Spam 2 Lamb,0
Abdul,Stick to the Code,6
Isaiah Rashad,Why Worry,1
JID,Hot Box (feat. Method Man & Joey Bada$$),7
DJ Premier,"Headlines (feat. Westside Gunn, Conway & Benny)",1
Tullis,Matinee,0
Beast Coast,"Bones (feat. The Underachievers, Nyck Caution & Kirk Knight)",7
Migos,Racks 2 Skinny,0
Lil Gotit,Oh Ok,6
JAY-Z,U Don't Know,2
Kanye West,Can't Tell Me Nothing,4
NAV,Turks (feat. Travis Scott),3
Young Nudy,Blue Cheese Salad,3
T9ine,All In All,6
Moneybagg Yo,Wockesha,5
Baby Smoove,Free Game,6
MC L da Vinte,Parado no Bailão,7
Cash Kidd,Who Shot You?,5
FWC Big Key,FTO,7
Cash Kidd,I Like Freestyle,7
J. Cole,i n t e r l u d e,0
Trippie Redd,Miss The Rage (feat. Playboi Carti),4
Toosii,rich nigga (feat. Key Glock),3
Damedot,No Rap Kap,6
Damedot,Priceless,0
Damedot,Plans (feat. Yung Reef),0
Damedot,Butterfly Doors,0
Toosii,in my eyes,1
Toosii,windows down,3
Toosii,fuck marry kill,1
Toosii,end of discussion,5
Toosii,red die,0
Scorey,Rock N Roll,7
Tee Grizzley,Grizzley Talk,3
Tee Grizzley,Not Gone Play (feat. King Von),0
Tee Grizzley,Built To Last,3
Tee Grizzley,Careless (feat. YNW Melly),0
Tee Grizzley,In My Feelings (feat. Quavo & Young Dolph),0
Tee Grizzley,Mad At Us,3
Tee Grizzley,High Speed,2
Tee Grizzley,Less Talking More Action,7
Tee Grizzley,White Dior Tee (feat. Allstar Lee & Mu),7
Tee Grizzley,Quit Trappin,2
Tee Grizzley,Change,3
Tee Grizzley,Free Baby Grizzley (Outro) [feat. Baby Grizzley],3
Toosii,greater storm,5
Don Toliver,Talk No More,7
Shy Glizzy,Where We Come From (feat. YoungBoy Never Broke Again),7
BlueBucksClan,Better Things,6
JAY-Z,Young Forever,0
Mac Miller,Aquarium,4
G Herbo,Focused,3
QUE.,"OG Bobby Johnson (feat. Snoop Dogg, A$AP Ferg, & Pusha T) - Remix",3
Shy Glizzy,Waikiki Flow,0
Chief Keef,Superheroes (feat. ASAP Rocky),5
Joey Bada$$,Front & Center,4
Young Nudy,2Face (feat. G Herbo),5
03 Greedo,Disco Shit (feat. Freddie Gibbs),3
21 Savage,monster,3
Lil Skies,Excite Me (feat. Wiz Khalifa),3
Internet Money,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",3
J. Cole,9 5 . s o u t h,4
J. Cole,a m a r i,4
J. Cole,m y . l i f e (with 21 Savage & Morray),0
J. Cole,a p p l y i n g . p r e s s u r e,1
J. Cole,p u n c h i n ‘ . t h e . c l o c k,3
J. Cole,1 0 0 . m i l ‘ (with Bas),0
J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),3
J. Cole,l e t . g o . m y . h a n d (with Bas & 6LACK),6
J. Cole,c l o s e,1
J. Cole,h u n g e r . o n . h i l l s i d e (with Bas),0
Young Nudy,You Ain't Hard,3
21 Savage,Emergency (feat. Gunna & Young Thug),0
Kodak Black,Round The Roses,5
Kodak Black,Z Look Jamaican,7
Babyface Ray,Foreva,1
Babyface Ray,Addy,1
Babyface Ray,Paperwork Party - Remix,3
Lil Gnar,"NEW BUGATTI (feat. Ski Mask The Slump God, Chief Keef, DJ Scheme)",5
Rowdy Rebel,9 Bridge,3
YoungBoy Never Broke Again,White Teeth,2
Sada Baby,Little While (feat. Big Sean & Hit-Boy),7
Young Nudy,Revenge,5
Young Nudy,Roughneck,3
Young Nudy,Soul Keeper,5
Da-P,Lemonade,5
Moneybagg Yo,Federal Fed (feat. Future),0
Kodak Black,Change My Ways,3
Zaytoven,Reloaded,3
A Boogie Wit da Hoodie,I Know What's Real,0
Foogiano,FIRST DAY IN LA (feat. Pooh Shiesty),7
Jack Harlow,ROTTEN (feat. EST Gee),0
YNW Melly,Rolling Loud,6
Spillage Village,Duece Coupe,5
SAINt JHN,Freedom Is Priceless,7
Benny The Butcher,Broken Bottles,0
Don Toliver,Backend,3
Drako,Racks on Me,7
2KBABY,OLD STREETS (feat. Lil Durk) - Remix,5
Baby Keem,Miss Charlotte,0
Shy Glizzy,Get it Again (feat. Dave East),3
Future,My Collection,6
Danny Wolf,Slidin,0
Polo G,GANG GANG (with Lil Wayne),3
Pooh Shiesty,"Switch it Up (feat. G Herbo, No More Heroes)",2
Pooh Shiesty,Welcome To The Riches (feat. Lil Baby),5
Pooh Shiesty,See Me Comin,3
Pooh Shiesty,Murder Skool,0
Birdman,STUNNAMAN (with Roddy Ricch & feat. Lil Wayne),3
42 Dugg,Intro,5
42 Dugg,Turnest Nigga In The City,7
42 Dugg,We Know,7
42 Dugg,Maybach (feat. Future),0
42 Dugg,Bestfriends,7
42 Dugg,Alone (feat. Lil Durk),5
42 Dugg,Please,0
42 Dugg,Rose Gold (feat. EST Gee),5
YG,Dangerous (feat. G Herbo),3
YG,MAD (feat. Young M.A),3
YG,Drop A Location,2
YG,First 48,3
Icewear Vezzo,6 Up,0
Icewear Vezzo,Live In STL,2
Icewear Vezzo,Jack Artist (feat. Rio Da Yung OG),7
Icewear Vezzo,Still With Me,0
Icewear Vezzo,Fucc The Clout,3
Icewear Vezzo,Kitchen (feat. BIG30),7
Icewear Vezzo,Kobe Bryant (feat. EST Gee),2
Icewear Vezzo,Goat (feat. Trippie Redd),3
Icewear Vezzo,That's It,3
Money Man,Whole Lotta,0
Kodak Black,When Vultures Cry,3
Kanye West,H•A•M,0
Freddie Gibbs,Baby $hit,6
Carnage,Mase in '97,2
Lil Wayne,Love Me,3
Freddie Gibbs,Deep,1
Moneybagg Yo,FR,5
Joey Bada$$,Hazeus View,1
BIGBABYGUCCI,3 Am in La,3
Mac Miller,Cut the Check (feat. Chief Keef),7
The Notorious B.I.G.,Notorious Thugs - 2014 Remaster,3
Moneybagg Yo,Me Vs Me,3
NugLife,Digital Dope,0
Mal & Quill,Mexico,3
Ski Mask The Slump God,Cat Piss (feat. Lil Yachty),5
A$AP Rocky,Peso,2
Stunna 4 Vegas,Welcome To 4 Vegas,7
Kanye West,Ghost Town,3
Maxo Kream,Grannies,3
"Tyler, The Creator",BUFFALO (feat. Shane Powers),2
Joey Bada$$,The Light,2
Trippie Redd,Hate Me,7
1020Meezy,Mobties,6
Spillage Village,Can't Call It,5
Malz Monday,Say It,0
A Boogie Wit da Hoodie,Secrets,0
Baby Money,Moncler Bubble,5
Eminem,Killer (feat. Jack Harlow & Cordae) - Remix,3
GMO Stax,Back from the Dead (feat. Pooh Shiesty & Big 30) - Remix,1
GMO Stax,Have You Ever,7
DMX,That's My Dog (feat. The LOX & Swizz Beatz),1
DMX,Take Control (feat. Snoop Dogg),1
DMX,Letter To My Son (Call Your Father) (feat. Usher & Brian King Joseph),6
DMX,Bath Salts (feat. JAY-Z & Nas),4
DMX,Dogs Out (feat. Lil Wayne & Swizz Beatz),0
DMX,Money Money Money (feat. Moneybagg Yo),1
DMX,"Hood Blues (feat. Westside Gunn, Benny The Butcher & Conway The Machine)",1
Juice WRLD,Lucid Dreams (feat. Lil Uzi Vert) - Remix,1
Juice WRLD,734,0
JAY-Z,This Can't Be Life,1
Kid Cudi,Too Bad I Have To Destroy You Now,0
Ghostface Killah,Back Like That - Remix,3
Twista,Slow Jamz,2
JAY-Z,Gotta Have It,0
The Madd Rapper,Stir Crazy (feat. Eminem),7
50 Cent,How to Rob (feat. The Madd Rapper),3
Hotboii,Nobody Special (with Future),5
Lil Baby,Voice of the Heroes,7
Desiigner,Survivor,0
Juicy J,Neighbor (feat. Travis Scott),7
KrispyLife Kidd,Mistake,3
Young Nudy,Shootin Star,5
Bandhunta Izzy,How to Rob,7
Lil Baby,2040,0
Lil Baby,Hats Off (feat. Travis Scott),2
Lil Baby,Who I Want,3
Lil Baby,Still Hood,0
Lil Baby,Man of my Word,0
Lil Baby,Still Runnin (feat. Meek Mill),7
Lil Baby,How It Feels,3
Lil Baby,Lying,3
Lil Baby,Okay,3
Lil Baby,That's Facts,7
Lil Baby,Please,1
Lil Baby,Up The Side (feat. Young Thug),0
Lil Baby,If You Want To,0
Lil Baby,Make It Out,5
Lil Baby,Rich Off Pain (feat. Rod Wave),1
Lil Baby,Bruised Up,0
Roddy Ricch,late at night,5
LPB Poody,Batman (with Lil Wayne feat. Moneybagg Yo) - Remix,7
Lloyd Banks,Empathy,1
Lloyd Banks,Formaldehyde,3
Smoke DZA,Grey Poupon,1
Mike Jones,Still Tippin' (feat. Slim Thug and Paul Wall),3
MF DOOM,YESSIR!,1
BabyTron,Just In Case,5
Roddy Ricch,Day One (Outro),5
Your Old Droog,Dropout Boogie,7
Pi’erre Bourne,Sossboy 2 (feat. Lil Uzi Vert),3
Yung Bans,Touch The Stars (feat. Lil Tjay),3
Young Stoner Life,"Really Be Slime (feat. YNW Melly, Bslime & FN DaDealer)",5
Joey Bada$$,Big Dusty,1
NorthSideBenji,Clicquot,7
SSGKobe,Sandlot,3
BabyTron,Cheat Code 2,5
BabyTron,Money Man,1
BabyTron,The Office,5
BabyTron,Mermaid Man and Barnacle Boy,1
BabyTron,Mr. Miyagi,4
BabyTron,PunchGod 3,5
BabyTron,MVP Season,2
BabyTron,Cold World,0
BabyTron,Untouched,5
BabyTron,Million Dollar Thoughts,5
Don Toliver,Fast Lane,2
Kodak Black,Gleerious,1
Kodak Black,Feelin' Peachy,7
Kodak Black,"Amber Rolls (feat. Rylo Rodriguez, Yo Gotti and Lil Keed)",7
Pi’erre Bourne,Switching Lanes (feat. Playboi Carti),6
Pi’erre Bourne,HULU,6
Pi’erre Bourne,Couch,4
Pi’erre Bourne,Drunk And Nasty (feat. Sharc),0
Pi’erre Bourne,Butterfly,0
Pi’erre Bourne,4U,0
Migos,Avalanche,7
Migos,Having Our Way (feat. Drake),0
Migos,Malibu (feat. Polo G),7
Migos,Birthday,3
Migos,Modern Day,3
Migos,Picasso (feat. Future),7
Migos,Roadrunner,0
Migos,Antisocial (feat. Juice WRLD),6
Migos,Mahomes,3
Migos,Handle My Business,0
Migos,Time For Me,5
Migos,Light It Up (feat. Pop Smoke),3
Polo G,Painting Pictures,6
Polo G,Boom,3
Polo G,Broken Guitars (with Scorey),0
Polo G,Go Part 1 (with G Herbo),5
Polo G,Zooted Freestyle,7
Polo G,Losses (with Young Thug),7
Polo G,Fame & Riches (with Roddy Ricch),5
Polo G,Bloody Canvas,5
BabyTron,$100 Rice Bowl,3
BabyTron,Bugs Bunny,4
BabyTron,Playmaker,5
BabyTron,Scam Stars,7
BabyTron,Cowabunga,4
BabyTron,Space Jam,4
The Alchemist,"Perfectionist (feat. Rick Ross, Meek Mill)",4
SOB X RBE,Anti,2
Kid Cudi,Make Her Say,3
Young Dolph,On the River (feat. Wiz Khalifa),0
Money Man,Alladin,5
Lil Baby,Commercial (feat. Lil Uzi Vert),3
Huncho Jack,Saint Laurent Mask,0
Key Glock,Mr. Glock,7
Isaiah Rashad,Tity and Dolla (feat. Hugh Augustine & Jay Rock),5
Young Dolph,Play Wit Yo' Bitch,5
YoungBoy Never Broke Again,I Came Thru,3
Lil Gotit,Waptopia,3
Lil Gotit,Work Out (feat. Gunna),5
Lil Gotit,Playa Chanel (feat. Young Thug),7
Lil Gotit,Burnt N Turnt (feat. NAV),3
Wheezy,Guillotine (From “True to the Game 2” Original Motion Picture Soundtrack),3
Flatbush Zombies,dirty elevator music,1
2 Chainz,Bentley Truck,7
Wiz Khalifa,10 Piece,3
Young Thug,Feel It,3
DUSTY LOCANE,"ROLLIN N CONTROLLIN, Pt.2 (PICTURE ME)",7
Remble,Touchable,6
"Tyler, The Creator",LUMBERJACK,2
Outkast,Humble Mumble (feat. Erykah Badu),3
Outkast,The Way You Move (feat. Sleepy Brown),3
Outkast,Gasoline Dreams (with Khujo Goodie),7
Outkast,Ain't No Thang,2
Outkast,Wailin',5
Outkast,SpottieOttieDopaliscious,7
Migos,Working A Fool,3
Isaiah Rashad,Headshots (4r Da Locals),7
Don Toliver,Drugs N Hella Melodies (feat. Kali Uchis),0
Vince Staples,LAW OF AVERAGES,6
H.E.R.,Bloody Waters,3
Unfoonk,I Had (feat. Gunna),3
Unfoonk,Running Out of Patience (feat. Future),2
Unfoonk,911 (feat. Young Thug),5
Unfoonk,Ape Shit (feat. G Herbo),7
Lil Eazzyy,Outta Pocket,0
ShredGang Boogz,223,0
Top$ide,LA,0
Lil Eazzyy,Why,3
NoCap,38 Sides (feat. YoungBoy Never Broke Again),2
BabyTron,Game Time,0
Gravediggaz,2 Cups of Blood,4
The Diplomats,Dipset Anthem,7
Chief Keef,Sosa Chamberlain,5
21 Savage,Bad Business,5
brandUn DeShay,Odd Octubree,4
Rio Da Yung Og,Movie,7
Busta Rhymes,Put Your Hands Where My Eyes Could See,3
Icewear Vezzo,Tear The Club Up,5
"Tyler, The Creator",SIR BAUDELAIRE (feat. DJ Drama),4
"Tyler, The Creator",CORSO,3
"Tyler, The Creator",LEMONHEAD (feat. 42 Dugg),4
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),4
"Tyler, The Creator",HOT WIND BLOWS (feat. Lil Wayne),2
"Tyler, The Creator",MASSA,2
"Tyler, The Creator",RUNITUP (feat. Teezo Touchdown),6
"Tyler, The Creator",MANIFESTO (feat. Domo Genesis),1
"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),4
"Tyler, The Creator",MOMMA TALK,4
"Tyler, The Creator",RISE! (feat. DAISY WORLD),7
"Tyler, The Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),5
"Tyler, The Creator",WILSHIRE,1
"Tyler, The Creator",SAFARI,1
Ski Mask The Slump God,Intro,6
Ski Mask The Slump God,Dr. Suess,7
Ski Mask The Slump God,ADMIT IT,7
Ski Mask The Slump God,The Matrix,3
Ski Mask The Slump God,Ya!,0
Ski Mask The Slump God,Merlin’s Staff,5
Ski Mask The Slump God,Lost In Time,6
Logic,Ballin,3
Bfb Da Packman,Wendy Williams,3
Bfb Da Packman,Opp in the Sky (feat. Noodah05),7
Bfb Da Packman,Fun Time (feat. Wiz Khalifa),7
Bfb Da Packman,Frenchmen (feat. Benny the Butcher),7
Scorey,Love Letter,0
Lupe Fiasco,Mural,4
Busta Rhymes,Pass The Courvoisier (feat. P. Diddy),1
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,3
Sharc,100 Clip,2
Sharc,Grimey Story,5
Kendrick Lamar,Ronald Reagan Era,2
Jacquees,"Hot For Me (feat. Lil Keed, Lil Gotit)",0
BIGBABYGUCCI,Lose My Mind,3
Mac Miller,Nikes On My Feet,3
Sterl Gotti,Stars Align,5
Mac Miller,Time Flies (feat. Lil B),1
03 Greedo,Never Bend (Remix) (feat. Lil Uzi Vert),2
ADÉ,SOMETHING'S UP,3
Future,Please Tell Me,0
Westside Gunn,Michael Irvin,6
YN Jay,Summer Time,1
YN Jay,72 Hours,1
YN Jay,Immaculate,3
YN Jay,Distrokid (feat. Rio Da Yung OG & Louie Ray),2
G Herbo,I Don’t Wanna Die,4
G Herbo,Cry No More,7
G Herbo,Stand the Rain (Mad Max),2
G Herbo,T.O.P.,7
G Herbo,You Can't,1
G Herbo,No Jail Time,5
G Herbo,Cold World,2
G Herbo,Whole Hearts,2
G Herbo,2 Chains,2
G Herbo,Drill,3
G Herbo,Trenches Know My Name,0
G Herbo,Doughboy,3
G Herbo,Demands,0
G Herbo,Loyalty,1
G Herbo,Pray 4 My Enemies,3
G Herbo,Turning 25,7
Brent Faiyaz,Wasting Time ( feat. Drake & The Neptunes ),1
Nas,Nazareth Savage,1
Nas,Life is Like a Dice Game - Spotify Singles,1
DJ ESCO,"Showed You (feat. Young Thug, Future, A Boogie Wit Da Hoodie & DeJ Loaf)",7
21 Savage,out for the night - part 2,4
Maxo Kream,Paranoia,4
Shordie Shordie,Holding Hands,3
Calboy,"Chariot (feat. Meek Mill, Lil Durk & Young Thug)",3
The Game,The Code,3
B La B,Sunday Morning,0
Lil Durk,Switched Up,5
Roddy Ricch,Intro,3
A Boogie Wit da Hoodie,7 Mac 11's,3
Outkast,Prototype,0
Outkast,Call of da Wild (feat. Goodie Mob),2
Digital Underground,Same Song,5
Sterl Gotti,Hannah Montana,0
Freddy Solitary,Get Paid,6
LPB Poody,Connected (feat. 42 Dugg),7
T.R.U.,What's Going On (feat. 2 Chainz),3
Mustard,Interstate 10 (feat. Future),0
Wiz Khalifa,Yea Yup (feat. Young Deji) [Produced by Harry Fraud],0
Post Malone,Motley Crew,0
Bas,The Jackie (with J. Cole & Lil Tjay),7
IDK,Santa Monica Blvd,0
IDK,Red,4
IDK,Puerto Rico,0
Vince Staples,ARE YOU WITH THAT?,6
Vince Staples,SUNDOWN TOWN,6
Vince Staples,THE SHINING,5
Vince Staples,TAKING TRIPS,5
Vince Staples,TAKE ME HOME,6
Vince Staples,LIL FADE,5
Vince Staples,LAKEWOOD MALL,6
Vince Staples,MHM,7
Geto Boys,Still,1
Damedot,Rich Nigga Summer,2
Lando Bando,New Era,5
2Pac,R U Still Down? (Remember Me),7
2Pac,Out On Bail,2
2Pac,Soldier Like Me,3
2Pac,Never B Peace - Nitty Remix - Album Version,7
2Pac,Loyal To The Game,7
2Pac,Who Do You Love?,3
2Pac,Whatcha Gonna Do,7
2Pac,Better Dayz,7
2Pac,Thug 4 Life,7
Future,Never Satisfied (feat. Drake),2
Travis Scott,Never Catch Me,0
PARTYNEXTDOOR,Break from Toronto,0
Future,Kno The Meaning,5
Looney Babie,Drill,2
Lil Durk,Neighborhood Hero,3
Mac Miller,Clubhouse,3
Tm88,Blue Jean Bandit,0
Vince Staples,Get The Fuck Off My Dick,7
Lil Wayne,Let The Beat Build,2
Future,7 Am Freestyle,5
Travis Scott,lose,3
Bryson Tiller,Canceled,0
Pop Smoke,More Time,0
Pop Smoke,Manslaughter (feat. Rick Ross & The-Dream),0
Pop Smoke,Bout A Million (feat. 42 Dugg & 21 Savage),6
Pop Smoke,Brush Em (feat. Rah Swish),4
Pop Smoke,Beat The Speaker,4
Pop Smoke,What’s Crackin (feat. Takeoff),7
Funk Flex,Lurkin (feat. Polo G) - Remix,3
Pop Smoke,Genius (feat. Lil Tjay & Swae Lee),2
Pop Smoke,Mr. Jones (feat. Future),3
Pop Smoke,Merci Beaucoup,0
YNW Melly,Yung Nigga Shit (feat. YNW Gunna & Hotboii),5
ZZ Top,La Grange - 2005 Remaster,1
Black Sabbath,Paranoid - 2012 - Remaster,2
Isaiah Rashad,Wat U Sed (feat. Iamdoechii & Kal Banx),7
Aaron May,Let Go,3
EST Gee,Riata Dada,4
EST Gee,Make It Even,0
EST Gee,"5500 Degrees (feat. Lil Baby, 42 Dugg & Rylo Rodriguez)",7
EST Gee,Bigger Than Life Or Death,1
EST Gee,Lick Back Remix (feat. Future & Young Thug),7
EST Gee,Price Tag,3
EST Gee,All I Know (feat. Pooh Shiesty),2
EST Gee,Lick Back,7
Yung Bleu,Die Under The Moon,6
Yung Bleu,Angels Never Cry (feat. MoneyBagg Yo & Kodak Black),3
Yung Bleu,Beautiful Lies,6
Yung Bleu,Way More Close (Stuck In A Box) (feat. Big Sean),6
Yung Bleu,Shoe Box,6
Yung Bleu,You're Mines Still (feat. Drake),3
Kap G,Marvelous Day (feat. Lil Uzi Vert & Gunna),3
Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),3
Future,No Charge,3
Drake,All Me,5
A$AP Rocky,Excuse Me,0
KrispyLife Kidd,Intro,4
LBM Lil Joe,Backend,1
Eladio Carrion,TATA - Remix,6
Isaiah Rashad,Darkseid,6
Isaiah Rashad,RIP Young,7
Isaiah Rashad,True Story (feat. Jay Rock & Jay Worthy),0
Isaiah Rashad,Wat U Sed (feat. Doechii & Kal Banx),7
Isaiah Rashad,Score (feat. SZA & 6LACK),6
Isaiah Rashad,HB2U,6
Vince Staples,Señorita,3
Smino,Father Son Holy Smoke,6
Kid Cudi,All Along,6
Kid Cudi,Mojo So Dope,2
Kid Cudi,Hyyerr,4
Kid Cudi,Internal Bleeding,0
Kid Cudi,Troubled Boy,6
Kid Cudi,Don’t Play This Song,6
Kid Cudi,Ashin’ Kusher,6
Aminé,RATCHET SATURN GIRL,1
6LACK,Pretty Little Fears (feat. J. Cole),6
MadeinTYO,Chucky Cheese,3
Maxo Kream,LOCAL JOKER,6
Kodak Black,Senseless,0
WooBaby,On Me Heavy,5
Earl Sweatshirt,20 Wave Caps (feat. Domo Genesis),1
BBY KODIE,Korleone,0
88GLAM,Purple Baguettes,3
Benny The Butcher,All 70 (feat. Conway),2
Future,Salute,7
Travis Scott,5% TINT,0
Dee Watkins,Goin Broke,7
Jack Harlow,SUVs (Black on Black),7
,,1
EARTHGANG,Build,3
Nas,The Pressure,2
Nas,Death Row East,4
Nas,EPMD 2 (feat. Eminem & EPMD),3
Nas,YKTV (feat. A Boogie Wit da Hoodie & YG),2
Nas,Nobody (feat. Ms. Lauryn Hill),3
The Weeknd,Take My Breath - Single Version,7
Lil Tecca,REPEAT IT (with Gunna),7
Sada Baby,The Bool,3
Sada Baby,In Real Life,0
Sada Baby,Black Harlow,3
Sada Baby,Brazy Taxi,1
Sada Baby,1955,5
Sada Baby,Big Hot Cheeto,1
Sada Baby,Good Wealthy,5
Sada Baby,Bloxk Vibes,7
Sada Baby,Chief Keef,0
Young Nudy,Keep It In The Street,5
Young Nudy,Old School,2
Young Nudy,Wicked For The Money (feat. 2FeetBino),7
Young Nudy,Trap S**t (feat. Future),0
Hotboii,Oath,0
Ginuwine,So Anxious,6
BabyTron,Cade Cunningham,5
Kid Cudi,Trauma,6
Kodak Black,Before I Go (feat. Rod Wave),4
Drake,Too Much,2
Drake,From Time,6
BabyTron,Jugg Messiah 3,5
Outkast,Funkin' Around,3
Outkast,Roses,7
UGK,Int'l Players Anthem (I Choose You) (feat. Outkast),3
2Pac,Keep Ya Head Up,2
2Pac,I'm Gettin Money,3
The Notorious B.I.G.,You're Nobody (Til Somebody Kills You) - 2014 Remaster,1
2Pac,I Wonder If Heaven Got A Ghetto,7
YNW Melly,Mind of Melvin (feat. Lil Uzi Vert),6
Denzel Curry,The Game,7
YNW Melly,Freddy Krueger Remix (feat. Future & Tee Grizzley),7
Nardo Wick,Slide,0
YNW Melly,Take Kare (feat. Lil Baby & Lil Durk),7
Griselda,Cruiser Weight Coke,7
Outkast,She Lives in My Lap (feat. Rosario Dawson),4
Bino Rideaux,BET,0
Kendrick Lamar,Growing Apart (To Get Closer),6
Kendrick Lamar,Mortal Man,4
Danny Brown,Really Doe,7
Meek Mill,A1 Everything (feat. Kendrick Lamar),7
Outkast,We Luv Deez Hoez (feat. Backbone & Big Gipp),7
Outkast,Liberation (with Cee-Lo),2
Outkast,Babylon,5
2 Chainz,Momma I Hit A Lick (feat. Kendrick Lamar),2
Kendrick Lamar,Black Boy Fly - Bonus Track,2
Eminem,Love Game,4
Boldy James,Fake Flowers,6
Freddie Gibbs,Frank Lucas (feat. Benny the Butcher),1
Freddie Gibbs,Forever and a Day,3
Freddie Gibbs,20 Karat Jesus,1
Freddie Gibbs,2 Legit,4
Freddie Gibbs,Harold’s,4
Freddie Gibbs,God Is Perfect,6
G Herbo,Never Cared,5
G Herbo,Summer is Cancelled,4
G Herbo,Never Scared (feat. Juice WRLD),1
G Herbo,Like This,0
G Herbo,High Speed,1
G Herbo,Everything,7
Curren$y,Scottie Pippens (feat. Freddie Gibbs),1
Machinedrum,Kane Train,2
Nas,Still Dreaming,1
Kanye West,On God,1
JAY-Z,Illest Motherf**ker Alive,4
JAY-Z,Lucifer,2
Wiz Khalifa,Penthouse (feat. Snoop Dogg),4
Mac Miller,Earth,7
Don Toliver,AMG,3
Young Dolph,Dummest & the Dummest,7
Kanye West,My Way,1
Babyface Ray,My Thoughts,6
Rod Wave,2019,1
Rod Wave,What's Wrong,0
Rod Wave,Get Ready (feat. Kodak Black),1
Mark Morrison,Return of the Mack,7
Baby Keem,family ties (with Kendrick Lamar),0
Outkast,Elevators (Me & You) - slowed + reverb,3
A$AP Rocky,LVL,0
Lil Keed,Wavy (Remix) [feat. Travis Scott],5
Damian Marley,Road To Zion,1
JayDaYoungan,23 Island,6
BIGBABYGUCCI,Pink Matter,3
Jack Harlow,Wasted Youth,5
Meek Mill,Sharing Locations (feat. Lil Baby & Lil Durk),0
Kanye West,Jail,6
Kanye West,God Breathed,0
Kanye West,Off The Grid,2
Kanye West,Hurricane,0
Kanye West,Praise God,0
Kanye West,Jonah,6
Kanye West,Ok Ok,5
Kanye West,Junya,0
Kanye West,Believe What I Say,4
Kanye West,24,0
Kanye West,Remote Control,0
Kanye West,Moon,6
Kanye West,Heaven and Hell,0
Kanye West,Keep My Spirit Alive,2
Kanye West,Jesus Lord,0
Kanye West,New Again,4
Kanye West,Lord I Need You,4
Kanye West,Pure Souls,0
Kanye West,Come to Life,6
Kanye West,No Child Left Behind,0
Kanye West,Junya pt 2,0
Kanye West,Jesus Lord pt 2,0
Dr. Dre,Let Me Ride,7
Mac Miller,Small Worlds,6
Baby Smoove,Hustler Muzic,2
Drake,Fair Trade (with Travis Scott),0
Drake,Yebba’s Heartbreak,6
Drake,No Friends In The Industry,4
Drake,You Only Live Twice (with Lil Wayne & Rick Ross),1
Drake,IMY2 (with Kid Cudi),0
Bobby Shmurda,No Time For Sleep (Freestyle),2
Drake,Race My Mind,2
Drake,Way 2 Sexy (with Future & Young Thug),3
Outkast,Hootie Hoo,0
Outkast,Crumblin' Erb,5
Westside Gunn,Mariota (feat. Stove God Cooks),1
Westside Gunn,Vogue cover (feat. Stove God Cooks),2
Westside Gunn,Margiela Split Toes (feat. Mach-Hommy),2
Westside Gunn,Bash money (feat. Lil Wayne),0
Westside Gunn,"Claires Back (feat. Conway The Machine, Benny The Butcher & DJ Clue)",2
Westside Gunn,716 Mile (feat. Boldy James),4
Viktor Vaughn,Can I Watch? (feat. Apani B as Nikki),5
Maxo Kream,"BIG PERSONA (feat. Tyler, The Creator)",0
Zion I,Bird's Eye View,4
Curren$y,The Count (feat. Wiz Khalifa),1
JAY-Z,F.U.T.W.,1
Freddie Gibbs,Andrea,1
Freddie Gibbs,Sumthin U Should Know,5
Baby Keem,trademark usa,0
